empty_slots,extra,free_bikes,id,latitude,longitude,name,timestamp,ebikes,has_ebikes,last_updated,payment_0,payment_1,payment-terminal,rental_uris_android,rental_uris_ios,renting,returning,slots,uid
13,"{'ebikes': 5, 'has_ebikes': True, 'last_updated': 1696291857, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 39, 'uid': '66de099d-0aca-11e7-82f6-3863bb44ef7c'}",20,46a983722ee1f51813a6a3eb6534a6e4,40.795,-73.9645,W 100 St & Manhattan Ave,2023-10-03 00:11:38.169000+00:00,5,True,1696291857,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,39,66de099d-0aca-11e7-82f6-3863bb44ef7c
35,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291834, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 81, 'uid': 'b94cc90e-9ca2-4471-8371-23be051e0157'}",22,81872dcff5f0e5f1e042aafcc0bab6fd,40.7667405590595,-73.9790689945221,7 Ave & Central Park South,2023-10-03 00:11:37.883000+00:00,0,True,1696291834,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,81,b94cc90e-9ca2-4471-8371-23be051e0157
0,"{'ebikes': 2, 'has_ebikes': True, 'last_updated': 1696291826, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 27, 'uid': '9a40cb60-6ede-4c9e-9d64-dc55cae57f31'}",5,75a634e2473d7e3abf789c09c44fdf26,40.751047,-73.93797,28 St & 41 Ave,2023-10-03 00:11:37.254000+00:00,2,True,1696291826,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,27,9a40cb60-6ede-4c9e-9d64-dc55cae57f31
0,"{'ebikes': 2, 'has_ebikes': True, 'last_updated': 1696291807, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 37, 'uid': '46bdd925-fb6c-4654-85d8-e0db4da62abf'}",30,fdb4831d3335a9aea380117ea4f4b81a,40.801694,-73.957145,Frederick Douglass Blvd & W 112 St,2023-10-03 00:11:38.293000+00:00,2,True,1696291807,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,37,46bdd925-fb6c-4654-85d8-e0db4da62abf
8,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291802, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 23, 'uid': '594b4656-9d83-4301-8967-3b92c126531c'}",14,678fea3bb3afe05788a35750358db726,40.795508,-73.941606,3 Ave & E 112 St,2023-10-03 00:11:37.945000+00:00,0,True,1696291802,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,23,594b4656-9d83-4301-8967-3b92c126531c
12,"{'ebikes': 2, 'has_ebikes': True, 'last_updated': 1696291842, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 97, 'uid': '66ddbd20-0aca-11e7-82f6-3863bb44ef7c'}",77,7ca4ed0b4fba2b2fb259ba84bd43e2ad,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,2023-10-03 00:11:37.980000+00:00,2,True,1696291842,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,97,66ddbd20-0aca-11e7-82f6-3863bb44ef7c
12,"{'ebikes': 5, 'has_ebikes': True, 'last_updated': 1696291853, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 27, 'uid': '8caf71df-76c3-43fb-be98-d555d2291460'}",7,032adb4e82f406f3e04c4b40c2f43e96,40.6794388,-73.9680438,Bergen St & Vanderbilt Ave,2023-10-03 00:11:37.662000+00:00,5,True,1696291853,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,27,8caf71df-76c3-43fb-be98-d555d2291460
13,"{'ebikes': 2, 'has_ebikes': True, 'last_updated': 1696291824, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 23, 'uid': '66dbb869-0aca-11e7-82f6-3863bb44ef7c'}",7,ca4f75006e50239fd4d3024e2effc750,40.6851443,-73.95380904,Monroe St & Bedford Ave,2023-10-03 00:11:38.102000+00:00,2,True,1696291824,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,23,66dbb869-0aca-11e7-82f6-3863bb44ef7c
21,"{'ebikes': 0, 'has_ebikes': True, 'last_updated': 1696291856, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 31, 'uid': '60c5a043-1367-4a27-96ee-394ba60e2154'}",5,387d971321c72e3ecba9ceaa2bfac75a,40.7557327,-73.9236611,35 Ave & 37 St,2023-10-03 00:11:37.965000+00:00,0,True,1696291856,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,31,60c5a043-1367-4a27-96ee-394ba60e2154
1,"{'ebikes': 4, 'has_ebikes': True, 'last_updated': 1696291837, 'payment': ['key', 'creditcard'], 'payment-terminal': True, 'rental_uris': {'android': 'https://bkn.lft.to/lastmile_qr_scan', 'ios': 'https://bkn.lft.to/lastmile_qr_scan'}, 'renting': 1, 'returning': 1, 'slots': 27, 'uid': '66dbbc4a-0aca-11e7-82f6-3863bb44ef7c'}",18,9df6386d8677d42c8ba69a15548e61a7,40.73652889,-74.00618026,Bank St & Hudson St,2023-10-03 00:11:37.872000+00:00,4,True,1696291837,key,creditcard,True,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,1,1,27,66dbbc4a-0aca-11e7-82f6-3863bb44ef7c
